id;lugar;frecuencia;agradable;3 La iluminacion le permite:;4 La calidad de la iluminacion;5 Identificar�a situaci�n de peligro?;6 Las caracteristicas de la zona:;7a Ser Vista;7b Ser Escuchada;8 Cantidad de personas le generan:;9 Zona segura si hay presencia de:;10 Los andenes le permiten:;11 Calidad de andenes le genera:;12 Medio de transporte que utiliza;13 Que sensaci�n experimenta en TP?;14 Tiempo entre paradero y su casa;15a Demasiadas personas dentro del TP;15b Muy pocas personas dentro del TP;15c Ventas informales en el TP;15d Caminata hacia el paradero;15e Condiciones de espera del TP;15f Alg�n desconocido quiere hablar;15g Viajar sola, sin compa��a;15h Viajar con ni�@ o ancian@;15i Viajar de noche;16 Hora que considera insegura;16a Hora militar;17a Primera Opci�n;17b Segunda Opci�n;17c Tercera Opci�n;18b Hombres;18a Mujeres;18c Ni�as y Ni�os;Personas;D1 Edad;D2 Actividad Principal;D3 Escolaridad;D4 Autoreconocimineto;D5 Discapacidad;D6 Identidad de g�nero;D7 Orientaci�n sexual;D8 Localidad;D9 Estrato
116;155;2;3;1;3;4;5;2;2;4;3;2;3;1;2;5;1;2;1;1;1;2;1;1;1;3;88;4;99;99;2;1;3;2;50;1;5;6;8;2;1;18;2
117;155;2;2;4;4;3;2;2;2;1;3;2;1;1;2;5;1;2;2;1;1;1;2;2;2;3;88;1;99;99;2;2;3;1;20;1;4;7;8;2;1;21;3
118;155;3;3;2;3;3;3;2;2;5;3;1;3;1;2;2;1;2;1;1;1;2;1;1;1;1;19:00;4;99;99;2;1;3;2;46;1;9;6;8;2;1;15;3
119;155;3;1;3;1;2;1;1;1;1;3;2;2;1;2;2;1;2;1;2;2;1;2;1;1;3;88;4;99;99;1;1;2;3;29;3;8;7;8;2;1;13;3
120;155;1;2;2;3;3;4;2;2;6;3;2;2;1;2;2;1;2;1;1;1;1;1;1;1;1;20:00;5;99;99;1;2;3;1;17;2;5;7;8;2;1;10;3
121;155;1;4;1;4;3;4;2;1;5;3;2;2;3;2;2;2;1;1;1;1;1;1;1;1;3;88;6;99;99;1;1;2;3;25;4;8;7;8;2;1;16;3
122;155;1;2;2;1;1;2;2;2;6;3;2;2;1;2;2;1;2;1;2;2;1;1;1;1;1;21:00;4;99;99;1;2;2;2;17;3;5;6;8;2;1;21;3
123;155;2;2;3;1;3;2;2;2;3;3;1;8;1;5;4;1;1;1;1;1;1;2;1;2;3;88;4;99;99;1;1;2;3;43;1;6;7;8;2;1;10;3
124;155;1;4;2;3;4;4;2;2;4;3;1;3;1;4;2;1;2;2;1;2;1;1;1;1;3;88;5;99;99;1;1;2;3;23;1;6;7;8;2;1;11;2
125;155;1;2;2;4;3;2;2;2;1;3;2;1;1;2;2;2;2;1;1;1;1;2;1;1;1;22:00;2;99;99;1;1;2;3;20;1;5;7;8;2;1;10;2
126;155;1;3;1;4;3;5;2;2;1;3;1;3;1;11;5;1;2;1;1;1;1;2;1;1;1;18:00;4;99;99;1;1;2;3;53;5;8;7;8;2;1;10;3
